Date,Price,Open,High,Low,Vol.,Change %,Vol_clean
2021-08-24,149.13,148.89,149.45,148.85,4.31K,0.00%,4310.0
2021-08-23,149.13,147.96,149.19,147.65,3.98K,0.69%,3980.0
2021-08-20,148.11,148.45,148.45,147.73,3.17K,0.15%,3170.0
2021-08-19,147.89,147.94,148.52,147.5,10.84K,0.16%,10840.0
2021-08-18,147.65,148.3,148.3,147.39,4.42K,0.09%,4420.0
2021-08-17,147.52,147.68,147.96,147.34,6.07K,0.41%,6070.0
2021-08-16,146.92,146.05,147.17,146.0,5.57K,0.57%,5570.0
2021-08-13,146.09,145.42,146.09,145.03,13.51K,1.00%,13510.0
2021-08-12,144.65,144.83,145.21,144.29,6.27K,0.01%,6270.0
2021-08-11,144.63,143.38,144.63,143.32,7.86K,1.15%,7860.0
2021-08-10,142.99,143.34,143.5,142.38,4.83K,0.18%,4830.0
2021-08-09,142.74,143.94,144.42,142.63,10.16K,-1.71%,10160.0
2021-08-06,145.22,147.66,147.99,145.22,24.04K,-1.71%,24040.0
2021-08-05,147.75,148.27,148.5,147.38,9.91K,-0.28%,9910.0
2021-08-04,148.16,148.18,149.28,148.16,8.56K,0.04%,8560.0
2021-08-03,148.1,147.85,148.23,147.54,2.73K,-0.11%,2730.0
2021-08-02,148.27,147.66,148.27,147.41,3.66K,-0.52%,3660.0
2021-07-30,149.04,149.21,149.29,148.88,1.38K,-0.23%,1380.0
2021-07-29,149.39,148.8,149.39,148.46,5.35K,0.99%,5350.0
2021-07-28,147.93,148.23,148.23,147.62,1.00K,0.12%,1000.0
2021-07-27,147.76,147.72,148.22,147.39,1.66K,-0.05%,1660.0
2021-07-26,147.84,148.87,149.0,147.8,1.80K,-0.46%,1800.0
2021-07-23,148.53,148.99,149.04,147.9,4.67K,-0.24%,4670.0
2021-07-22,148.88,148.24,148.88,147.46,3.30K,0.32%,3300.0
2021-07-21,148.41,149.39,149.39,148.05,4.18K,-0.39%,4180.0
2021-07-20,148.99,149.53,150.43,148.99,5.18K,0.32%,5180.0
2021-07-19,148.52,148.37,149.18,148.13,6.04K,-0.19%,6040.0
2021-07-16,148.8,149.88,150.0,148.8,3.61K,-0.70%,3610.0
2021-07-15,149.85,150.19,150.31,149.57,1.26K,0.19%,1260.0
2021-07-14,149.56,149.07,150.17,149.07,6.03K,0.42%,6030.0
2021-07-13,148.93,148.19,148.97,148.0,2.75K,0.89%,2750.0
2021-07-12,147.62,147.21,147.69,146.5,1.95K,-0.26%,1950.0
2021-07-09,148.0,147.5,148.01,147.16,2.67K,0.52%,2670.0
